NAME,DATE,PLANETDISCMETH,MASS,SEP,DIST
GJ 328 b,2013,RV,2.3,4.43476,19.8
WASP-17 b,2010,Transit,0.508547,0.0499354,400
HAT-P-17 b,2012,Transit,0.530158,0.0882385,90.0009
Kepler-162 b,2014,Transit,0.00656354,0.0710671,
Kepler-293 c,2014,Transit,0.0463015,0.280136,
HD 102329 b,2011,RV,4.47808,1.80892,158.003
HD 159868 b,2007,RV,2.20004,2.29553,58.6854
Kepler-262 c,2014,Transit,0.0121773,0.152976,
WASP-75 b,2013,Transit,1.07,0.0375112,260
Kepler-222 b,2014,Transit,0.0297967,0.0487958,
Kepler-334 b,2014,Transit,0.00436179,0.0607596,
HD 114783 b,2002,RV,1.10505,1.15987,20.5002
GJ 581 e,2009,RV,0.00613456,0.028459,6.24532
Kepler-327 c,2014,Transit,0.00324127,0.0588339,
epsilon Ret b,2001,RV,1.37669,1.19471,18.2382
GJ 674 b,2007,RV,0.034879,0.0386657,4.5405
Kepler-57 c,2013,Transit,0.0115953,0.0942979,
HD 168443 c,2001,RV,17.3857,2.85281,37.4252
Kepler-172 c,2014,Transit,0.0245625,0.0673847,
Kepler-400 c,2014,Transit,0.0115291,0.131115,
Kepler-220 e,2014,Transit,0.00789025,0.250899,
WASP-57 b,2013,Transit,0.675887,0.0386362,455
HAT-P-37 b,2012,Transit,1.17362,0.0379273,411
Kepler-198 c,2014,Transit,0.019315,0.264081,
Kepler-249 b,2014,Transit,0.00396389,0.0434366,
HD 81040 b,2006,RV,6.87654,1.9372,33.1126
HD 208527 b,2013,RV,10.014,2.099,403.226
Kepler-165 b,2014,Transit,0.0176845,0.0794582,
Kepler-28 b,2011,Transit,0.0397121,0.0581375,
Kepler-118 c,2014,Transit,0.184717,0.145024,
HAT-P-32 b,2011,Transit,0.861516,0.0342627,283
GJ 163 c,2013,RV,0.0215524,0.125354,14.9948
HD 95089 b,2010,RV,1.12925,1.38575,139.082
XO-3 b,2008,Transit,13.2849,0.0477112,282.997
HD 114729 b,2003,RV,0.944758,2.10235,36.1141
Kepler-122 e,2014,Transit,0.0208911,0.221179,
Kepler-103 c,2014,Transit,0.0877632,0.64119,
HD 100655 b,2012,RV,1.33352,0.682908,122.249
Kepler-400 b,2014,Transit,0.0122424,0.0848304,
Kepler-113 b,2014,Transit,0.013404,0.0502736,
HD 142415 b,2004,RV,1.66194,1.06061,34.2349
CoRoT-9 b,2010,Transit,0.843564,0.406991,459.982
HD 114386 b,2004,RV,1.3637,1.72685,28.8934
HD 103197 b,2011,RV,0.0982431,0.249018,53.135
7 CMa b,2011,RV,2.43233,1.80264,19.7511
Kepler-368 b,2014,Transit,0.0318107,0.175473,
Kepler-335 b,2014,Transit,0.0346488,0.0685981,
WASP-16 b,2009,Transit,0.842294,0.0417858,
Kepler-316 b,2014,Transit,0.00359062,0.0335097,
HD 152581 b,2011,RV,1.51375,1.48938,186
KIC 11442793 h,2013,Transit,0.937417,0.996347,780
Kepler-103 b,2014,Transit,0.0305195,0.127704,
Kepler-338 b,2014,Transit,0.0189734,0.112199,
Kepler-129 b,2014,Transit,0.0182069,0.123186,
PH-1 b,2013,Transit,0.100437,0.629412,1500
Kepler-306 d,2014,Transit,0.019315,0.131044,
Kepler-37 d,2011,Transit,0.00577478,0.212021,66
HD 13908 c,2013,RV,5.13,2.03386,71.2
HD 125595 b,2011,RV,0.0416764,0.0809437,27.9564
WASP-79 b,2012,Transit,0.887514,0.0534741,240
Kepler-107 b,2014,Transit,0.0116666,0.0423212,
HIP 57274 c,2012,RV,0.410096,0.177758,25.9202
Kepler-30 d,2011,Transit,0.0726872,0.534239,
Kepler-158 c,2014,Transit,0.0139923,0.18282,
HD 93083 b,2005,RV,0.368176,0.476549,27.8552
HD 31253 b,2011,RV,0.501427,1.26054,50.3018
Kepler-357 c,2014,Transit,0.0218083,0.128672,
HD 89744 b,2000,RV,8.18778,0.902604,39.4322
HD 183263 c,2009,RV,3.47646,4.29488,55.0964
WASP-42 b,2012,Transit,0.496968,0.0547344,160
Kepler-53 d,2014,Transit,0.0157841,0.0893308,
Kepler-48 b,2011,Transit,0.0123966,0.0532027,
HD 192310 c,2011,RV,0.0736073,1.18358,8.91107
HD 1690 b,2011,RV,6.52644,1.36191,310.559
HAT-P-41 b,2012,Transit,0.800254,0.0425775,344
Kepler-42 c,2011,Transit,0.000954523,0.00585017,38.7
HD 28185 b,2001,RV,5.79721,1.02341,42.337
HD 23127 b,2007,RV,1.40487,2.31864,98.7167
HD 154672 b,2008,RV,5.00638,0.598618,64.7668
Kepler-275 d,2014,Transit,0.0333072,0.212092,
Kepler-52 b,2011,Transit,0.015593,0.0630945,
OGLE-TR-10 b,2005,Transit,0.62,0.0434856,
Kepler-370 b,2014,Transit,0.011856,0.0539702,
gamma Leo A b,2010,RV,10.3722,1.29554,39.8883
NN Ser c,2010,Timing,2.24099,6.15467,
HAT-P-2 b,2007,Transit,8.87066,0.0679088,114.416
HAT-P-24 b,2010,Transit,0.685857,0.0465021,396
HD 11506 b,2007,RV,4.7347,2.60488,51.7063
tau Boo b,1997,RV,5.95,0.0480039,15.6177
Kepler-124 c,2014,Transit,0.0129124,0.112713,
Kepler-184 c,2014,Transit,0.0145328,0.145651,
HD 34445 b,2010,RV,0.790506,2.06642,46.4684
Kepler-318 b,2014,Transit,0.0733215,0.0546218,
OGLE-2007-BLG-368L b,2010,Microlensing,0.0629,3.3,5900
HD 125612 b,2007,RV,3.06805,1.3728,54.2005
Kepler-20 f,2011,Transit,0.00323095,0.137859,290
Kepler-198 b,2014,Transit,0.0239491,0.13337,
42 Dra b,2009,RV,3.73203,1.16693,96.5251
Kepler-216 b,2014,Transit,0.0179955,0.0762713,
Kepler-292 d,2014,Transit,0.0167934,0.0719945,
Kepler-53 b,2011,Transit,0.0249941,0.136705,
Kepler-11 b,2011,Transit,0.00597804,0.0914497,
HD 153950 b,2009,RV,2.74209,1.28031,49.5295
Kepler-69 b,2011,Transit,0.0168702,0.104565,
Kepler-27 c,2011,Transit,0.0793989,0.168484,
HD 16141 b,2000,RV,0.249652,0.355656,38.956
Kepler-221 c,2014,Transit,0.0256819,0.0623799,
Kepler-7 b,2010,Transit,0.437758,0.0622369,
HIP 91258 b,2013,RV,1.068,0.0566534,44.9
WASP-24 b,2010,Transit,1.091,0.0365155,
HAT-P-29 b,2011,Transit,0.779004,0.0666842,322
Kepler-38 b,2012,Transit,0.0621296,0.429659,
HD 204313 d,2012,RV,1.60642,3.94498,47.4834
PSR B1257+12 B,1992,Timing,0.0135305,0.321369,
Kepler-147 b,2014,Transit,0.0125754,0.10603,
HD 50554 b,2002,RV,4.39876,2.26097,29.9133
HD 11964 c,2007,RV,0.0770689,0.226601,32.8515
Kepler-79 d,2014,Transit,0.178374,0.272969,
Kepler-344 c,2014,Transit,0.0260126,0.490824,
HD 13189 b,2005,RV,7.12332,1.25186,1851.85
HD 60532 b,2008,RV,1.0348,0.759258,25.2972
HAT-P-11 b,2010,Transit,0.0825354,0.0525443,37.4672
Kepler-406 b,2014,Transit,0.0199895,0.0361437,
Kepler-171 b,2014,Transit,0.0178911,0.0506781,
Kepler-330 b,2014,Transit,0.00829825,0.0799685,
HD 104067 b,2011,RV,0.185935,0.264333,21.0659
Kepler-229 b,2014,Transit,0.0165098,0.0664249,
Kepler-144 c,2014,Transit,0.00829825,0.0914719,
HD 20794 b,2011,RV,0.00848679,0.120738,6.04339
Kepler-94 b,2014,Transit,0.0341063,0.033677,
Kepler-115 c,2014,Transit,0.0208911,0.0846204,
Kepler-320 c,2014,Transit,0.00871939,0.134093,
HD 195019 b,1999,RV,3.57989,0.136688,38.5208
Kepler-274 c,2014,Transit,0.0135483,0.202153,
GJ 832 b,2009,RV,0.644279,3.4032,4.95368
Kepler-26 e,2014,Transit,0.0186399,0.254259,
GJ 667 C b,2011,RV,0.0171709,0.0504235,7.23589
Kepler-254 d,2014,Transit,0.0196646,0.138108,
CoRoT-19 b,2012,Transit,1.10792,0.0516604,770.001
Kepler-264 b,2014,Transit,0.0333072,0.231966,
Kepler-122 c,2014,Transit,0.115399,0.105218,
Kepler-142 b,2014,Transit,0.014692,0.0313162,
alpha Ari b,2011,RV,1.71662,1.1296,20.1776
Kepler-240 c,2014,Transit,0.0165098,0.0779794,
61 Vir b,2010,RV,0.016075,0.05006,8.55505
Kepler-298 b,2014,Transit,0.014454,0.0936962,
HD 210702 b,2007,RV,1.86459,1.17218,54.9451
Kepler-363 d,2014,Transit,0.0151834,0.102192,
HAT-P-4 b,2007,Transit,0.671507,0.0443853,313.48
HAT-P-21 b,2011,Transit,4.07833,0.0494951,254
Kepler-215 d,2014,Transit,0.0184218,0.192566,
Kepler-232 c,2014,Transit,0.0463015,0.0990113,
Kepler-346 b,2014,Transit,0.0216742,0.0682408,
Kepler-330 c,2014,Transit,0.0143757,0.124035,
alpha Cen B b,2012,RV,0.00354639,0.0418506,1.25483
mu Ara b,2001,RV,1.74552,1.5273,15.5111
WASP-45 b,2012,Transit,1.00657,0.0405459,
HD 73526 c,2006,RV,2.4209,1.02831,100.705
Kepler-382 c,2014,Transit,0.011856,0.103505,
Kepler-333 c,2014,Transit,0.00422638,0.163234,
Kepler-17 b,2011,Transit,2.47943,0.0267923,800
14 Her b,2003,RV,5.21486,2.93362,17.5716
HAT-P-33 b,2011,Transit,0.763256,0.0499317,387
Kepler-166 c,2014,Transit,0.0183139,0.206443,
OGLE-05-169L b,2006,Microlensing,0.04,2.7,2700
HIP 79431 b,2010,RV,2.11299,0.358346,14.3968
HD 171238 b,2010,RV,2.60901,2.54268,50.2765
Kepler-272 c,2014,Transit,0.0131908,0.0650321,
Kepler-157 c,2014,Transit,0.0168894,0.111181,
HIP 5158 b,2010,RV,1.42633,0.887919,41.1862
Kepler-308 c,2014,Transit,0.0161415,0.121047,
WASP-46 b,2012,Transit,2.10232,0.0244921,
Kepler-157 b,2014,Transit,0.00769114,0.028229,
GJ 849 b,2006,RV,0.830886,2.35317,9.09587
Kepler-52 d,2014,Transit,0.0143757,0.215129,
Kepler-197 c,2014,Transit,0.00604207,0.0929448,
Kepler-163 b,2014,Transit,0.00347154,0.0770446,
Kepler-121 c,2014,Transit,0.0171819,0.23273,
Kepler-191 b,2014,Transit,0.00809262,0.0904732,
Kepler-123 b,2014,Transit,0.0258466,0.130568,
Kepler-320 b,2014,Transit,0.00464108,0.0806883,
HAT-P-1 b,2007,Transit,0.532369,0.0553326,155.279
Kepler-186 f,2014,Transit,0.00421308,0.392576,151
Kepler-201 b,2014,Transit,0.0192003,0.170313,
OGLE2-TR-L9 b,2009,Transit,4.57442,0.0413279,
Kepler-54 b,2011,Transit,0.015593,0.0626016,
Kepler-355 c,2014,Transit,0.0223552,0.170712,
Kepler-375 c,2014,Transit,0.0215411,0.144132,
Kepler-137 b,2014,Transit,0.0110268,0.0811044,
Kepler-85 d,2014,Transit,0.00554835,0.133985,
Kepler-224 c,2014,Transit,0.0290307,0.0640814,
WASP-22 b,2010,Transit,0.559059,0.0468682,303.03
WASP-2 b,2007,Transit,0.908659,0.0312729,165.837
Kepler-392 b,2014,Transit,0.00291583,0.0598046,
Kepler-247 c,2014,Transit,0.0548224,0.087412,
HD 164922 b,2006,RV,0.357927,2.10091,22.119
Kepler-271 b,2014,Transit,0.00192504,0.0588746,
Kepler-30 c,2011,Transit,2.01385,0.300013,
Kepler-190 c,2014,Transit,0.0107805,0.0473476,
tau Gru b,2003,RV,1.2147,2.51797,32.6158
WASP-34 b,2011,Transit,0.583354,0.0520747,120
Kepler-397 c,2014,Transit,0.100676,0.516293,
HD 96063 b,2011,RV,1.14167,1.11312,158
HAT-P-22 b,2011,Transit,2.15137,0.0414094,82.0001
Kepler-221 b,2014,Transit,0.0126401,0.0388408,
CoRoT-7 b,2009,Transit,0.0157999,0.0171897,149.925
HD 5608 b,2012,RV,1.47372,1.98519,56.3698
Kepler-172 e,2014,Transit,0.0230631,0.209877,
Kepler-178 b,2014,Transit,0.025195,0.0882572,
Kepler-147 c,2014,Transit,0.0188614,0.203039,
HATS-1 b,2013,Transit,1.86507,0.0444708,303
Kepler-378 c,2014,Transit,0.00082692,0.184331,
HD 80606 b,2001,RV,3.89054,0.447343,58.4795
Kepler-158 b,2014,Transit,0.0157841,0.127912,
Kepler-45 b,2011,Transit,0.511499,0.0298817,333
Kepler-68 b,2011,Transit,0.026183,0.0617749,135
Kepler-308 b,2014,Transit,0.0157841,0.0889821,
WASP-78 b,2012,Transit,0.883997,0.0361391,550
Kepler-108 c,2014,Transit,0.224011,0.647542,
HD 86264 b,2009,RV,6.62738,2.84117,68.7758
Kepler-266 c,2014,Transit,0.0481581,0.443078,
Kepler-239 c,2014,Transit,0.019783,0.287238,
HD 82943 c,2004,RV,1.58936,0.742283,27.4725
Kepler-205 c,2014,Transit,0.0121773,0.145668,
Kepler-319 b,2014,Transit,0.0121124,0.0522529,
Kepler-162 c,2014,Transit,0.0273861,0.141525,
Kepler-126 c,2014,Transit,0.0117926,0.153051,
Kepler-384 c,2014,Transit,0.00450004,0.248874,
iota Hor b,2000,RV,2.04683,0.92376,17.1674
HD 37124 d,2005,RV,0.68665,2.80658,33.67
HD 192263 b,2000,RV,0.639382,0.152945,19.3162
HD 204313 b,2010,RV,3.50088,3.07131,47.3709
Kepler-212 c,2014,Transit,0.0227766,0.196459,
Kepler-53 c,2011,Transit,0.0299365,0.221868,
Kepler-321 b,2014,Transit,0.0130508,0.0565776,
Kepler-402 d,2014,Transit,0.00893492,0.0841819,
Kepler-339 d,2014,Transit,0.00508144,0.0941898,
Kepler-407 b,2014,Transit,0,0.0149747,
TrES-3 b,2007,Transit,1.91,0.0227178,245.098
Kepler-188 b,2014,Transit,0.0124398,0.0317043,
HIP 14810 b,2006,RV,3.87441,0.0692271,53.4474
Kepler-10 c,2011,Transit,0.054118,0.239651,173
HD 90156 b,2011,RV,0.0565295,0.249855,22.3514
Kepler-259 c,2014,Transit,0.0222169,0.217013,
Kepler-304 d,2014,Transit,0.0229193,0.0887283,
Kepler-150 e,2014,Transit,0.0290307,0.192408,
Kepler-218 c,2014,Transit,0.029411,0.246495,
Pr 211 b,2012,RV,1.84394,0.0320419,170
Kepler-203 b,2014,Transit,0.0205131,0.0421675,
Kepler-6 b,2010,Transit,0.669376,0.0456089,
Kepler-244 d,2014,Transit,0.0175824,0.14444,
24 Sex c,2011,RV,1.51716,2.24032,77.4593
Kepler-358 b,2014,Transit,0.0224946,0.20564,
Kepler-373 c,2014,Transit,0.00621274,0.127997,
HD 60532 c,2008,RV,2.46312,1.57999,25.2972
Kepler-299 b,2014,Transit,0.00769114,0.0400468,
Kepler-140 c,2014,Transit,0.0132614,0.396968,
Kepler-23 d,2014,Transit,0.0165098,0.12048,
HD 68988 b,2002,RV,1.79992,0.0692771,54.5256
Kepler-84 b,2012,Transit,0.0172355,0.08295,
HAT-P-26 b,2011,Transit,0.0586489,0.0478684,134
